month,month_name,total_days,load_shedding_days,risk_score,risk_level
1,January,90,58,64.44444444444444,Medium
2,February,79,75,94.9367088607595,High
3,March,90,76,84.44444444444444,High
4,April,87,79,90.80459770114942,High
5,May,89,83,93.25842696629213,High
6,June,75,67,89.33333333333333,High
7,July,58,58,100.0,High
8,August,60,59,98.33333333333333,High
9,September,58,58,100.0,High
10,October,60,53,88.33333333333333,High
11,November,58,24,41.37931034482759,Medium
12,December,59,3,5.084745762711865,Low
