source,datetime,previous_value,current_value,next_value,local_median,local_ratio
gas,2015-06-09 21:00:00,4383.0,44442.0,4417.0,4417.0,10.061580258093729
gas,2015-10-01 02:00:00,4251.0,44158.0,4178.0,4236.0,10.424457034938621
gas,2016-01-25 17:00:00,3691.0,33861.0,4039.0,3992.0,8.482214428857715
gas,2016-03-22 02:00:00,4098.0,40179.0,4049.0,4049.0,9.923190911336132
gas,2016-07-06 08:00:00,3555.0,36136.0,3684.0,3684.0,9.808903365906623
gas,2017-10-16 07:00:00,4800.0,74818.0,4766.0,4800.0,15.587083333333334
gas,2017-12-04 20:00:00,5056.0,49121.0,4581.0,5056.0,9.715387658227849
gas,2018-01-30 01:00:00,4328.0,42225.0,4094.0,4328.0,9.756238447319777
gas,2018-07-09 03:00:00,5449.0,54112.0,5448.0,5448.0,9.93245227606461
gas,2019-01-27 03:00:00,2025.0,49018.0,4918.0,5126.0,9.562621927428795
gas,2019-06-19 08:00:00,6507.0,68763.0,7013.0,6804.0,10.10626102292769
gas,2019-12-22 22:00:00,5933.0,59004.0,5416.0,5780.0,10.208304498269896
gas,2020-05-21 03:00:00,2857.0,27695.0,2461.0,2857.0,9.693734686734336
gas,2022-08-27 01:00:00,6692.0,66662.0,6638.0,6645.0,10.031903686982695
gas,2022-11-10 04:00:00,4555.0,45489.0,4529.0,4537.0,10.026228785541106
gas,2023-02-15 02:00:00,4733.0,47612.0,4601.0,4733.0,10.05958166068033
gas,2023-07-29 10:00:00,6205.0,61501.0,6484.0,6403.0,9.605028892706544
gas,2023-09-03 01:00:00,5927.0,59991.0,5782.0,5927.0,10.121646701535347
gas,2023-12-14 00:00:00,3767.0,37625.0,3770.0,3770.0,9.980106100795757
liquid_fuel,2015-09-14 10:00:00,1535.0,41512.0,1566.0,1566.0,26.50830140485313
liquid_fuel,2016-05-28 19:00:00,2042.0,42435.0,2520.0,2389.0,17.762662201758058
liquid_fuel,2017-02-25 23:00:00,1084.0,698113.0,497.0,1084.0,644.0156826568266
liquid_fuel,2017-04-05 01:00:00,1265.0,893165.0,531.0,1265.0,706.0592885375494
liquid_fuel,2017-06-01 02:00:00,1857.0,18902.0,1869.0,1869.0,10.113429641519529
